Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.026821624688902,-4.00085068042316E-05,0.0416160022003314,0,0,0,0.0528949799675124,2.70567852420767E-05,-9.67279674333672E-21,7.03793966679837E-06,4.91337224403947E-05,3.14088025332722E-21,5.74103078193648E-05,0,0,0,0,0,0,package://a/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://a/meshes/base_link.STL,,chassie-1,Coordinate System1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
l_wheel,-6.93889390390723E-18,0,-0.0137281820853482,0,0,0,0.0139508210573943,2.89561382218671E-06,-3.70576914423756E-22,1.22157832118606E-23,2.8956138221867E-06,-1.68722755729679E-22,5.50325061710386E-06,0,0,0,0,0,0,package://a/meshes/l_wheel.STL,1,1,1,1,0,0,0,0,0,0,package://a/meshes/l_wheel.STL,,lwheel-1;lrub-1,Origin_l_wh,Axis1,l_wh,continuous,0,-0.01904,0.026,-1.5708,-1.3685,0,base_link,0,0,1,,,,,,,,,,,,
r_wheel,-3.81639164714898E-17,2.77555756156289E-17,-0.0137281820853482,0,0,0,0.0139508210573943,2.8956138221867E-06,5.29395592033938E-22,-2.52469524042589E-22,2.8956138221867E-06,-2.67527204160234E-22,5.50325061710386E-06,0,0,0,0,0,0,package://a/meshes/r_wheel.STL,1,1,1,1,0,0,0,0,0,0,package://a/meshes/r_wheel.STL,,rwheel-1;rrub-1,Origin_r_wh,Axis2,r_wh,continuous,0,0.01896,0.026,1.5708,-0.61766,0,base_link,0,0,-1,,,,,,,,,,,,
caster,3.62452395874513E-09,-0.0148173358863486,3.3551936090559E-09,0,0,0,0.000511507784206821,2.52912052371912E-08,-1.49972092281477E-14,-1.4717066777345E-14,2.3449904681603E-09,-1.63975408848506E-14,2.4420663846452E-08,0,0,0,0,0,0,package://a/meshes/caster.STL,1,1,1,1,0,0,0,0,0,0,package://a/meshes/caster.STL,,caster_one-1,Origin_ca_a,Axis3,ca_a,continuous,0.059996,-4.0009E-05,0.005,-1.5708,0,3.1173,base_link,0,1,0,,,,,,,,,,,,
ca_in,1.73472347597681E-18,-3.46944695195361E-18,-0.0031609353514942,0,0,0,0.00115294881037348,2.21276235145309E-08,-2.17983094040463E-24,-4.65289094561078E-25,2.26814235145309E-08,-3.07607790293157E-24,2.12171525368821E-08,0,0,0,0,0,0,package://a/meshes/ca_in.STL,1,1,1,1,0,0,0,0,0,0,package://a/meshes/ca_in.STL,,cater_two-2,Origin_ca_wh,Axis4,ca_wh,continuous,0,-0.003,0,-3.1416,0,1.0249,caster,0,0,-1,,,,,,,,,,,,
